FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,ORGANIZATION DESCRIPTION,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUB-SECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE / GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4118,Fire Suppression and Rescue,F 05,87,8737,Captain,Annual,26,1,$128970.00,$3353220.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4118,Fire Suppression and Rescue,F 05,87,8737,Captain,Annual,2,1,$125130.00,$250260.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4118,Fire Suppression and Rescue,F 04,87,8735,Lieutenant,Annual,69,1,$114846.00,$7924374.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4118,Fire Suppression and Rescue,F 04,87,8735,Lieutenant,Annual,22,1,$111252.00,$2447544.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4118,Fire Suppression and Rescue,F 04,87,8735,Lieutenant,Annual,28,1,$107790.00,$3018120.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4118,Fire Suppression and Rescue,F 3A,87,8733,Fire Engineer,Annual,42,1,$103932.00,$4365144.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4118,Fire Suppression and Rescue,F 3A,87,8733,Fire Engineer,Annual,29,1,$100980.00,$2928420.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4118,Fire Suppression and Rescue,F 3A,87,8733,Fire Engineer,Annual,31,1,$97440.00,$3020640.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4118,Fire Suppression and Rescue,F 3A,87,8733,Fire Engineer,Annual,13,1,$94122.00,$1223586.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4118,Fire Suppression and Rescue,F 01,87,8731,Firefighter,Annual,132,1,$97386.00,$12854952.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4118,Fire Suppression and Rescue,F 01,87,8731,Firefighter,Annual,102,1,$93666.00,$9553932.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4118,Fire Suppression and Rescue,F 01,87,8731,Firefighter,Annual,130,1,$90024.00,$11703120.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4118,Fire Suppression and Rescue,F 01,87,8731,Firefighter,Annual,104,1,$87006.00,$9048624.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4118,Fire Suppression and Rescue,F 01,87,8731,Firefighter,Annual,7,1,$84054.00,$588378.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4118,Fire Suppression and Rescue,F 02,87,8728,Firefighter - Paramedic,Annual,1,1,$105750.00,$105750.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4118,Fire Suppression and Rescue,F 02,87,8728,Firefighter - Paramedic,Annual,3,1,$101688.00,$305064.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4118,Fire Suppression and Rescue,F 02,87,8728,Firefighter - Paramedic,Annual,21,1,$97746.00,$2052666.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4118,Fire Suppression and Rescue,F 02,87,8728,Firefighter - Paramedic,Annual,77,1,$94476.00,$7274652.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4118,Fire Suppression and Rescue,F 02,87,8728,Firefighter - Paramedic,Annual,84,1,$91272.00,$7666848.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4118,Fire Suppression and Rescue,F 02,87,8728,Firefighter - Paramedic,Annual,2,1,$86892.00,$173784.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4118,Fire Suppression and Rescue,F 02,87,8728,Firefighter - Paramedic,Annual,21,1,$82812.00,$1739052.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4118,Fire Suppression and Rescue,F 02,87,8728,Firefighter - Paramedic,Annual,15,1,$78738.00,$1181070.00
Local,60,COPA,100,CORPORATE FUND,1005,COPA,2005,COPA,3010,Investigations,0,,B 08,1,664,Data Entry Operator,Annual,2,1,$31872.00,$63744.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4118,Fire Suppression and Rescue,F 02,87,8728,Firefighter - Paramedic,Annual,3,1,$70872.00,$212616.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4118,Fire Suppression and Rescue,F 6P,87,8702,Battalion Chief - Paramedic,Annual,8,1,$153078.00,$1224624.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4118,Fire Suppression and Rescue,F 6P,87,8702,Battalion Chief - Paramedic,Annual,1,1,$148650.00,$148650.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4118,Fire Suppression and Rescue,F 6B,87,8701,Battalion Chief - EMT,Annual,77,1,$149502.00,$11511654.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4118,Fire Suppression and Rescue,F 6B,87,8701,Battalion Chief - EMT,Annual,3,1,$145194.00,$435582.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4118,Fire Suppression and Rescue,F 6B,87,8701,Battalion Chief - EMT,Annual,5,1,$137382.00,$686910.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4118,Fire Suppression and Rescue,B 10,1,302,Administrative Assistant II,Annual,1,1,$70092.00,$70092.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4118,Fire Suppression and Rescue,B 10,1,302,Administrative Assistant II,Annual,1,1,$40392.00,$40392.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4118,Fire Suppression and Rescue,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,$1490312.00,$1490312.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4120,Emergency Medical Services,3 00,89,8763,District Chief,Annual,2,1,$170112.00,$340224.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4120,Emergency Medical Services,F 01,87,8750,Paramedic,Annual,8,1,$97386.00,$779088.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4120,Emergency Medical Services,F 01,87,8750,Paramedic,Annual,5,1,$93666.00,$468330.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4120,Emergency Medical Services,F 01,87,8750,Paramedic,Annual,22,1,$90024.00,$1980528.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4120,Emergency Medical Services,F 01,87,8750,Paramedic,Annual,30,1,$87006.00,$2610180.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4120,Emergency Medical Services,F 01,87,8750,Paramedic,Annual,18,1,$84054.00,$1512972.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4120,Emergency Medical Services,F 01,87,8750,Paramedic,Annual,23,1,$80016.00,$1840368.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4120,Emergency Medical Services,F 01,87,8750,Paramedic,Annual,192,1,$72510.00,$13921920.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4120,Emergency Medical Services,F 01,87,8750,Paramedic,Annual,50,1,$56304.00,$2815200.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4120,Emergency Medical Services,F 3A,87,8749,Paramedic-In-Charge,Annual,8,1,$103932.00,$831456.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4120,Emergency Medical Services,F 3A,87,8749,Paramedic-In-Charge,Annual,19,1,$100980.00,$1918620.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4120,Emergency Medical Services,F 3A,87,8749,Paramedic-In-Charge,Annual,37,1,$97440.00,$3605280.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4120,Emergency Medical Services,F 3A,87,8749,Paramedic-In-Charge,Annual,107,1,$94122.00,$10071054.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4120,Emergency Medical Services,F 3A,87,8749,Paramedic-In-Charge,Annual,75,1,$91080.00,$6831000.00
Local,60,COPA,100,CORPORATE FUND,1005,COPA,2005,COPA,3010,Investigations,0,,3 00,0,306,Assistant Director,Annual,1,1,$115680.00,$115680.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4120,Emergency Medical Services,F 3A,87,8749,Paramedic-In-Charge,Annual,20,1,$86748.00,$1734960.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4120,Emergency Medical Services,F 3A,87,8749,Paramedic-In-Charge,Annual,7,1,$78792.00,$551544.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4120,Emergency Medical Services,F 06,87,8748,Paramedic Field Chief,Annual,1,1,$143814.00,$143814.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4120,Emergency Medical Services,F 06,87,8748,Paramedic Field Chief,Annual,32,1,$140970.00,$4511040.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4120,Emergency Medical Services,F 06,87,8748,Paramedic Field Chief,Annual,2,1,$136890.00,$273780.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4120,Emergency Medical Services,F 06,87,8748,Paramedic Field Chief,Annual,5,1,$133188.00,$665940.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4120,Emergency Medical Services,F 05,87,8745,Ambulance Commander,Annual,14,1,$128970.00,$1805580.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4120,Emergency Medical Services,F 05,87,8745,Ambulance Commander,Annual,14,1,$125130.00,$1751820.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4120,Emergency Medical Services,F 05,87,8745,Ambulance Commander,Annual,41,1,$121452.00,$4979532.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4120,Emergency Medical Services,F 05,87,8745,Ambulance Commander,Annual,10,1,$117816.00,$1178160.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4120,Emergency Medical Services,F 05,87,8745,Ambulance Commander,Annual,1,1,$114372.00,$114372.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4120,Emergency Medical Services,3 00,80,8734,Assistant Deputy Chief Paramedic,Annual,10,1,$156360.00,$1563600.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4120,Emergency Medical Services,B 10,1,302,Administrative Assistant II,Annual,1,1,$63876.00,$63876.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4120,Emergency Medical Services,B 10,1,302,Administrative Assistant II,Annual,1,1,$38376.00,$38376.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4120,Emergency Medical Services,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,$652080.00,$652080.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 3A,87,8819,Firefighter - Per Arbitrators Award - Paramedic,Annual,1,1,$112854.00,$112854.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 3A,87,8819,Firefighter - Per Arbitrators Award - Paramedic,Annual,1,1,$109656.00,$109656.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 3A,87,8819,Firefighter - Per Arbitrators Award - Paramedic,Annual,4,1,$105804.00,$423216.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 3A,87,8819,Firefighter - Per Arbitrators Award - Paramedic,Annual,4,1,$102228.00,$408912.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 5B,87,8817,Captain - EMT,Annual,1,1,$136794.00,$136794.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 5B,87,8817,Captain - EMT,Annual,2,1,$132732.00,$265464.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 4P,87,8812,Lieutenant - Paramedic,Annual,3,1,$124728.00,$374184.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 4B,87,8811,Lieutenant - EMT,Annual,5,1,$121818.00,$609090.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 4B,87,8811,Lieutenant - EMT,Annual,1,1,$117996.00,$117996.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 4B,87,8811,Lieutenant - EMT,Annual,3,1,$114324.00,$342972.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 3A,87,8807,Fire Engineer - EMT,Annual,2,1,$110214.00,$220428.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 3A,87,8807,Fire Engineer - EMT,Annual,3,1,$107106.00,$321318.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 3A,87,8807,Fire Engineer - EMT,Annual,2,1,$99846.00,$199692.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 1B,87,8801,Firefighter - EMT,Annual,2,1,$103272.00,$206544.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 1B,87,8801,Firefighter - EMT,Annual,1,1,$99324.00,$99324.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 1B,87,8801,Firefighter - EMT,Annual,12,1,$95484.00,$1145808.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 1B,87,8801,Firefighter - EMT,Annual,23,1,$92274.00,$2122302.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 1B,87,8801,Firefighter - EMT,Annual,17,1,$89148.00,$1515516.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 3A,87,8771,Firefighter - Per Arbitrators Award,Annual,1,1,$103932.00,$103932.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 3A,87,8771,Firefighter - Per Arbitrators Award,Annual,1,1,$100980.00,$100980.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 3A,87,8771,Firefighter - Per Arbitrators Award,Annual,1,1,$97440.00,$97440.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,3 00,89,8764,Deputy District Chief,Annual,3,1,$156360.00,$469080.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,3 00,89,8755,Assistant Deputy Fire Commissioner,Annual,1,1,$185352.00,$185352.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 06,87,8739,Battalion Chief,Annual,1,1,$140970.00,$140970.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 06,87,8739,Battalion Chief,Annual,1,1,$129534.00,$129534.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 05,87,8737,Captain,Annual,2,1,$128970.00,$257940.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 04,87,8735,Lieutenant,Annual,1,1,$114846.00,$114846.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 3A,87,8733,Fire Engineer,Annual,1,1,$103932.00,$103932.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 3A,87,8733,Fire Engineer,Annual,2,1,$94122.00,$188244.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 01,87,8731,Firefighter,Annual,4,1,$97386.00,$389544.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 01,87,8731,Firefighter,Annual,8,1,$93666.00,$749328.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 01,87,8731,Firefighter,Annual,17,1,$90024.00,$1530408.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 01,87,8731,Firefighter,Annual,5,1,$87006.00,$435030.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 02,87,8728,Firefighter - Paramedic,Annual,1,1,$97746.00,$97746.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 02,87,8728,Firefighter - Paramedic,Annual,6,1,$94476.00,$566856.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 02,87,8728,Firefighter - Paramedic,Annual,5,1,$91272.00,$456360.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 02,87,8728,Firefighter - Paramedic,Annual,1,1,$70872.00,$70872.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 6B,80,8726,Commander - EMT,Annual,1,1,$137382.00,$137382.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 6P,87,8702,Battalion Chief - Paramedic,Annual,1,1,$153078.00,$153078.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,F 6B,80,8659,Chief Helicopter Pilot - EMT,Annual,1,1,$149502.00,$149502.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,2 0,21,7355,Marine Pilot - Fire Boat,Monthly,4,1,$8802.31,$422511.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,3 00,0,365,Personal Assistant,Annual,1,1,$80520.00,$80520.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,$1001.00,$1001.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4123,Fire Investigations,F 4P,87,8796,Supervising Fire Marshal - Paramedic,Annual,1,1,$113484.00,$113484.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4123,Fire Investigations,F 4B,87,8795,Supervising Fire Marshal - EMT,Annual,1,1,$121818.00,$121818.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4123,Fire Investigations,F 4B,87,8795,Supervising Fire Marshal - EMT,Annual,2,1,$117996.00,$235992.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4123,Fire Investigations,F 1B,87,8794,Fire Marshal - EMT,Annual,1,1,$103272.00,$103272.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4123,Fire Investigations,F 1B,87,8794,Fire Marshal - EMT,Annual,8,1,$95484.00,$763872.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4123,Fire Investigations,F 1B,87,8794,Fire Marshal - EMT,Annual,5,1,$92274.00,$461370.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4123,Fire Investigations,F 1B,87,8794,Fire Marshal - EMT,Annual,6,1,$59730.00,$358380.00
Local,59,CHICAGO FIRE DEPARTMENT,100,CORPORATE FUND,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4123,Fire Investigations,F 01,87,8793,Fire Marshal,Annual,2,1,$97386.00,$194772.00
