Purchase Order (Contract) Number,Revision Number,Specification Number,Contract Type,Approval Date,Department,Vendor Name,Vendor ID,Address 1,City,State,Zip,Award Amount
44917,0,269729,COMPTROLLER-OTHER,8/12/16,DEPARTMENT OF CULTURAL AFFAIRS,WASHBURNE CULINARY INSTITUTE.,93141671T,KENNEDY KING COLLEGE,CHICAGO,IL,60621,"$29,780.00 "
23954,137,24508A,CONSTRUCTION-GENERAL,3/2/17,CHICAGO DEPARTMENT OF TRANSPORTATION,WALSH CONSTRUCTION COMPANY OF ILL,15792481T,929 W ADAMS STREET EFT,CHICAGO,IL,60607,"$29,895.10 "
52594,0,131743,DELEGATE AGENCY,2/3/17,DEPT OF FAMILY AND SUPPORT SERVICES,WHITE CRANE WELLNESS CENTER,93332253E,1657 W FOSTER AVENUE EFT,CHICAGO,IL,60640,"$29,951.00 "
32201,19,128567,CONSTRUCTION-AVIATION,1/6/16,DEPT OF AVIATION,"OAKLEY CONSTRUCTION CO., INC.",15149245V,7815-7819 S CLAREMONT AVE,CHICAGO,IL,60620,"$30,000.00 "
33033,3,127313,COMMODITIES,1/12/16,CHICAGO DEPARTMENT OF TRANSPORTATION,PRODUCTION DISTRIBUTION COMPANIES,93360965M,9511 S DORCHESTER EFT,CHICAGO,IL,60628,"$30,000.00 "
40895,0,223650,COMPTROLLER-OTHER,6/6/16,DEPT OF COMMUNITY DEVELOPMENT,RENAISSANCE COLLABORATIVE,28325716V,3757 S WABASH AVE,CHICAGO,IL,60653,"$30,000.00 "
31438,1,127298,DELEGATE AGENCY,7/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,CENTER FOR HOUSING & HEALTH,94136735V,200 W JACKSON BLVD,CHICAGO,IL,60606,"$30,000.00 "
34839,7,125189,CONSTRUCTION-GENERAL,12/9/16,DEPARTMENT OF WATER MANAGEMENT,CAPITOL CEMENT CO INC 01,15244443L,6231-6233 N PULASKI RD,CHICAGO,IL,60646,"$30,000.00 "
33027,3,129558,DELEGATE AGENCY,11/9/16,DEPT OF FAMILY AND SUPPORT SERVICES,ALL CHICAGO MAKING HOMELESSNESS HISTORY,97415498V,651 W WASHINGTON BLVD,CHICAGO,IL,60661,"$30,000.00 "
35760,6,120967,CONSTRUCTION-LARGE $3MILLIONorABOVE,12/5/16,DEPARTMENT OF WATER MANAGEMENT,MQ SEWER & WATER CONTRACTORS,93441467T,C. D/B/A MQ CONSTRUCTION CO,CHICAGO,IL,60634,"$30,000.00 "
30222,8,117642,CONSTRUCTION-GENERAL,12/9/16,CHICAGO DEPARTMENT OF TRANSPORTATION,"SUMIT CONSTRUCTION CO., INC.",21973746A,4150 W WRIGHTWOOD AVE FL 1ST,CHICAGO,IL,60639,"$30,000.00 "
44043,0,300535,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,INSTITUTE OF POSITIVE EDUCATION,22419545P,7825 S ELLIS AVE,CHICAGO,IL,60619,"$30,000.00 "
44038,0,300535,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,EAST VILLAGE YOUTH PROGRAM,93332327X,3643 W BELMONT EFT,CHICAGO,IL,60618,"$30,000.00 "
43832,0,257964,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,CHRISTOPHER HOUSE,99076565L,1611 W DIVISION STREET EFT,CHICAGO,IL,60622,"$30,000.00 "
44040,0,300535,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,"GIRL SCOUTS OF GREATER CHICAGO AND NORTHWEST INDIANA, INC",93427920A,222 S RIVERSIDE PLAZA EFT,CHICAGO,IL,60606,"$30,000.00 "
52819,0,378094,DELEGATE AGENCY,2/3/17,DEPT OF FAMILY AND SUPPORT SERVICES,"ELIJAH GLENN WARD FAMILY FOUNDATION, INC",10195420,6818 SOUTH CHAPPELAVENUE,CHICAGO,IL,60649,"$30,000.00 "
44050,0,300535,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,TRUE TO LIFE FOUNDATION,93278209E,1712 E 87TH STREET EFT ST,CHICAGO,IL,60617,"$30,000.00 "
44212,0,300532,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,ACCESS LIVING OF METROPOLITAN CHICAGO,93427616P,614 W ROOSEVELT RD,CHICAGO,IL,60607,"$30,000.00 "
49032,0,300532,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,METROSQUASH,80647304L,5655 S UNIVERSITY AVENUE EFT,CHICAGO,IL,60637,"$30,000.00 "
43665,0,300538,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,YOUTH OUTREACH DEVELOPMENTS IN LITERACY,93169039X,3963 W BELMONT AVE,CHICAGO,IL,60618,"$30,000.00 "
43660,0,300538,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,REFUGEEONE,94716859E,4753 N BROADWAY EFT,CHICAGO,IL,60640,"$30,000.00 "
44223,0,300532,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,"NEW LIFE CENTERS OF CHICAGOLAND, NFP",95224706P,4101 W 51ST ST,CHICAGO,IL,60632,"$30,000.00 "
44045,0,300535,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,PREVENTION FORCE FAMILY CENTER,93425511E,4728 W MADISON EFT,CHICAGO,IL,60644,"$30,000.00 "
44046,0,300535,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,PROJECT EXPLORATION,95146950V,4511 S EVANS AVENUE EFT,CHICAGO,IL,60653,"$30,000.00 "
32639,11,131388,CONSTRUCTION-AVIATION,1/12/16,DEPT OF AVIATION,"PLOTE CONSTRUCTION, INC / K-FIVE CONSTRUCTION CORP. JOINT VENTURE",23353679E,1100 BRANDT DR,HOFFMAN ESTATES,IL,60120,"$30,261.60 "
44042,0,300535,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,I C.A.R.E. MINISTRIES,33648529E,PO BOX 51202,CHICAGO,IL,60651-0202,"$30,300.00 "
43990,0,257964,DELEGATE AGENCY,1/11/17,DEPT OF FAMILY AND SUPPORT SERVICES,MUJERES LATINAS EN ACCION,23296996L,2823 W 17TH ST,CHICAGO,IL,60608,"$30,400.00 "
43641,0,300542,DELEGATE AGENCY,1/11/17,DEPT OF FAMILY AND SUPPORT SERVICES,"THE ETHIOPIAN COMMUNITY ASSOCIATION OF CHICAGO, INC.",93270901E,1730 W GREENLEAF AVENUE EFT,CHICAGO,IL,60626,"$30,500.00 "
44225,0,300532,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,"PASSAGES ALT. LIV. PROG, INC.",93332359P,10 W 35TH STREET EFT ST,CHICAGO,IL,60616,"$30,700.00 "
34975,0,159967,DELEGATE AGENCY,4/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,LITTLE BLACK PEARL WORKSHOP,11988272E,4200 S DREXEL BLVD,CHICAGO,IL,60653,"$31,200.00 "
31031,2,125384,COMMODITIES,10/5/16,DEPARTMENT OF WATER MANAGEMENT,"CHICAGO UNITED INDUSTRIES, LIMITED",22085024V,53 W JACKSON BLVD # 1450,CHICAGO,IL,60604-3806,"$31,850.00 "
37798,0,189844,DELEGATE AGENCY,5/11/16,DEPT OF FAMILY AND SUPPORT SERVICES,PRIMO CENTER FOR WOMEN AND CHILDREN,33063126A,4241 W WASHINGTON BLVD,CHICAGO,IL,60624,"$31,922.00 "
32201,40,128567,CONSTRUCTION-AVIATION,6/6/16,DEPT OF AVIATION,"OAKLEY CONSTRUCTION CO., INC.",15149245V,7815-7819 S CLAREMONT AVE,CHICAGO,IL,60620,"$31,929.00 "
46453,0,287880,COMPTROLLER-OTHER,9/9/16,DEPARTMENT OF CULTURAL AFFAIRS,"STUDIO BLUE, INC.",22467745V,800 W HURON ST # 3N,CHICAGO,IL,60622,"$32,000.00 "
44041,0,300535,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,"GIRLS IN THE GAME, NFP",88397211Z,1501 W RANDOLPH STREET EFT,CHICAGO,IL,60607,"$32,300.00 "
31303,2,129403,DELEGATE AGENCY,10/11/16,DEPT OF FAMILY AND SUPPORT SERVICES,CORNERSTONE COMMUNITY OUTREACH,23356265V,939 W WILSON AVE,CHICAGO,IL,60640,"$32,400.00 "
32644,13,129423,CONSTRUCTION-AVIATION,12/6/16,DEPT OF AVIATION,"BLINDERMAN CONSTRUCTION COMPANY, INC.",38785860Z,8501 W HIGGINS RD STE 320,CHICAGO,IL,60631,"$32,746.30 "
31961,7,127675,CONSTRUCTION-LARGE $3MILLIONorABOVE,5/3/16,CHICAGO DEPARTMENT OF TRANSPORTATION,"SUMIT CONSTRUCTION CO., INC.",21973746A,4150 W WRIGHTWOOD AVE FL 1ST,CHICAGO,IL,60639,"$32,914.10 "
44013,0,257964,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,STREET-LEVEL YOUTH MEDIA,99253657L,1637 N ASHLAND BOULEVARD EFT,CHICAGO,IL,60622,"$33,950.00 "
43981,0,257964,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,KOREAN AMERICAN RESOURCE & CULTURAL CENTER,95310790V,6212 N LINCOLN AVE,CHICAGO,IL,60659,"$33,950.00 "
31459,2,129454,DELEGATE AGENCY,1/4/17,DEPT OF FAMILY AND SUPPORT SERVICES,LAF,94132915P,METROPOLITAN OF CHICAGO,CHICAGO,IL,60604-3502,"$34,000.00 "
44226,0,300532,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,PENEDO CHARITABLE ORGANIZATION,92457289M,737 N MICHIGAN AVENUE EFT,CHICAGO,IL,60611,"$34,144.00 "
52590,0,131743,DELEGATE AGENCY,2/3/17,DEPT OF FAMILY AND SUPPORT SERVICES,RUSH UNIVERSITY MEDICAL CENTER,99782637E,1725 W HARRISON ST,CHICAGO,IL,60612,"$34,160.00 "
31289,1,129405,DELEGATE AGENCY,1/4/17,DEPT OF FAMILY AND SUPPORT SERVICES,BETWEEN FRIENDS,85244322M,2301 W HOWARD ST FL 1ST,CHICAGO,IL,60645,"$34,817.00 "
31434,1,129401,DELEGATE AGENCY,1/4/17,DEPT OF FAMILY AND SUPPORT SERVICES,UNIVERSAL FAMILY CONNECTION 01,15928878E,1350 W 103RD STREET EFT ST,CHICAGO,IL,60643,"$34,880.00 "
43771,0,257964,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,CHILDREN'S HOME & AID SOCIETY OF ILLINOIS,93427732E,125 S WACKER DR FL 14TH  EFT,CHICAGO,IL,60606-4475,"$35,000.00 "
43738,0,257964,DELEGATE AGENCY,1/11/17,DEPT OF FAMILY AND SUPPORT SERVICES,CHICAGO HOUSE AND SOCIAL SERVICE AGENCY,99409084T,1925 N CLYBOURN EFT,CHICAGO,IL,60614,"$35,000.00 "
43988,0,257964,DELEGATE AGENCY,1/11/17,DEPT OF FAMILY AND SUPPORT SERVICES,METROPOLITAN FAMILY SERVICE,99076577X,ONE NORTH DEARBORN STREET,CHICAGO,IL,60602,"$35,000.00 "
44031,0,300535,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,ARAB AMERICAN ACTION NETWORK,93293354V,3148 W 63RD STREET EFT ST,CHICAGO,IL,60629,"$35,000.00 "
44228,0,300532,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,"SPARK PROGRAM, INC.",94732687T,223 W JACKSON BLVD,CHICAGO,IL,60606,"$35,000.00 "
44032,0,300535,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,"ASIAN HUMAN SERVICES, INC.",91969516M,4753 N BROADWAY FL 1ST,CHICAGO,IL,60640,"$35,000.00 "
44023,0,257964,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,WORLDWIDE FAMILY CENTER INC. ORGANIZATION,95265330V,4215 W WEST END AVE,CHICAGO,IL,60624,"$35,000.00 "
44017,0,257964,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,"THE MIRACLE CENTER, INC.",94577011T,2311 N PULASKI RD,CHICAGO,IL,60639,"$35,000.00 "
44022,0,257964,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,VIETNAMESE ASSOCIATION OF ILLINOIS,69283206E,5110 N BROADWAY EFT,CHICAGO,IL,60640,"$35,000.00 "
49033,0,300538,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,PRESENCE BEHAVIORAL HEALTH,56817073,1820 SOUTH 25TH AVENUE,BROADVIEW,IL,60155,"$35,000.00 "
31430,1,129401,DELEGATE AGENCY,1/4/17,DEPT OF FAMILY AND SUPPORT SERVICES,SARAH'S INN,93350716P,309 HARRISON STREET EFT,OAK PARK,IL,60340,"$35,000.00 "
31377,1,129405,DELEGATE AGENCY,1/4/17,DEPT OF FAMILY AND SUPPORT SERVICES,HOWARD AREA COMMUNITY CENTER,28386163V,CENTER (AGENT)ROBERT BUCHANAN,CHICAGO,IL,60626,"$35,000.00 "
44037,0,300535,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,DIVINE PURPOSE YOUTH PERFORMING ARTS CENTER,96291467A,4540 W WASHINGTON BLVD,CHICAGO,IL,60624,"$35,000.00 "
31304,1,129401,DELEGATE AGENCY,1/4/17,DEPT OF FAMILY AND SUPPORT SERVICES,CONNECTIONS FOR ABUSED WOMEN AND THEIR CHILDREN,99762816V,PO BOX 477916,CHICAGO,IL,60620,"$35,000.00 "
44049,0,300535,DELEGATE AGENCY,2/2/17,DEPT OF FAMILY AND SUPPORT SERVICES,THE SALVATION ARMY,13923821L,5040 N PULASKI RD STE 6,CHICAGO,IL,60630,"$35,000.00 "
44025,0,257964,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,YOUTH SERVICE PROJECT,3904321V,3942 W NORTH AVE,CHICAGO,IL,60647,"$35,000.00 "
31401,2,129401,DELEGATE AGENCY,1/4/17,DEPT OF FAMILY AND SUPPORT SERVICES,"HEALTHCARE ALTERNATIVE SYSTEMS, INC",5329123Z,2755 W ARMITAGE AVE,CHICAGO,IL,60647,"$35,000.00 "
44220,0,300532,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,CHICAGO-LAWNDALE AMACHI MENTORING PROGRAM (LAMP),94732672P,3508 W OGDEN AVE,CHICAGO,IL,60623,"$35,618.00 "
30456,7,122909,CONSTRUCTION-LARGE $3MILLIONorABOVE,6/7/16,CHICAGO DEPARTMENT OF TRANSPORTATION,"SUMIT CONSTRUCTION CO., INC.",21973746A,4150 W WRIGHTWOOD AVE FL 1ST,CHICAGO,IL,60639,"$35,798.80 "
31815,13,124006,CONSTRUCTION-LARGE $3MILLIONorABOVE,1/6/17,CHICAGO DEPARTMENT OF TRANSPORTATION,MQ SEWER & WATER CONTRACTORS,93441467T,C. D/B/A MQ CONSTRUCTION CO,CHICAGO,IL,60634,"$36,000.00 "
43737,0,257964,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,"CENTRAL STATES SER, JOBS FOR PROGRESS, INC.",95146946X,3948 W 26TH ST,CHICAGO,IL,60623,"$36,000.00 "
31407,1,129401,DELEGATE AGENCY,1/4/17,DEPT OF FAMILY AND SUPPORT SERVICES,"KOREAN AMERICAN COMMUNITY SERVICES, INC.",15141444E,4300 N CALIFORNIA AVENUE EFT,CHICAGO,IL,60618,"$36,000.00 "
33991,3,145715,DELEGATE AGENCY,10/11/16,DEPT OF FAMILY AND SUPPORT SERVICES,THE SALVATION ARMY,13923821L,5040 N PULASKI RD STE 6,CHICAGO,IL,60630,"$36,700.00 "
34396,0,151398,EXHIBIT-A,1/8/16,DEPT OF STREETS & SANITATION,POSTAGE BY PHONE,85240102M,RMRS,SAINT LOUIS,MO,63195-7150,"$36,739.20 "
31956,50,125921,CONSTRUCTION-LARGE $3MILLIONorABOVE,1/3/17,CHICAGO DEPARTMENT OF TRANSPORTATION,CAPITOL CEMENT CO INC 01,15244443L,6231-6233 N PULASKI RD,CHICAGO,IL,60646,"$37,000.00 "
43867,0,257964,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,INSTITUTE FOR POSITIVE LIVING,33839451V,435 E 35TH ST,CHICAGO,IL,60616,"$37,000.00 "
44014,0,257964,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,CATHOLIC BISHOP OF CHICAGO 01,93352714L,4541 S WOOD ST,CHICAGO,IL,60609,"$37,000.00 "
44047,0,300535,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,REFUGEEONE,94716859E,4753 N BROADWAY EFT,CHICAGO,IL,60640,"$37,400.00 "
33924,2,125889,CONSTRUCTION-LARGE $3MILLIONorABOVE,3/2/17,CHICAGO DEPARTMENT OF TRANSPORTATION,"SUMIT CONSTRUCTION CO., INC.",21973746A,4150 W WRIGHTWOOD AVE FL 1ST,CHICAGO,IL,60639,"$37,465.00 "
49131,0,324130,PROPERTY LEASE,11/3/16,,MILBURN ADDISON,10194414,30 WEST MONROE STREET,CHICAGO,IL,60603,"$37,500.00 "
31396,1,129405,DELEGATE AGENCY,1/4/17,DEPT OF FAMILY AND SUPPORT SERVICES,POLISH AMERICAN ASSOCIATION,87112400P,3834 N CICERO AVENUE EFT,CHICAGO,IL,60641,"$37,507.00 "
54676,0,406157,COMPTROLLER-OTHER,3/3/17,OFFICE OF BUDGET & MANAGEMENT,ROGERS PARK COMM DEV CORP,93419965M,1530 W MORSE AVENUE EFT,CHICAGO,IL,60626,"$37,775.00 "
43989,0,257964,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,"MIKVA CHALLENGE GRANT FOUNDATION, INC. DBA MIKVA CHALLENGE",93805436E,332 S MICHIGAN AVE,CHICAGO,IL,60604,"$38,000.00 "
44035,0,300535,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,BRIGHTON PARK NEIGHBORHOOD COUNCIL,46806011L,4477 S ARCHER AVE,CHICAGO,IL,60632,"$38,000.00 "
32988,4,118853,CONSTRUCTION-LARGE $3MILLIONorABOVE,10/4/16,CHICAGO DEPARTMENT OF TRANSPORTATION,ACURA INC,44068782X,556 COUNTY LINE RD,BENSENVILLE,IL,60106,"$38,100.00 "
33762,2,141531,DELEGATE AGENCY,3/8/17,,HEKTOEN INSTITUTE LLC.,93644643P,1900 W POLK ST RM 503,CHICAGO,IL,60612-9982,"$38,110.00 "
35966,0,135503,COMMODITIES,4/11/16,CITY CLERK,"KETCHUM MANUFACTURING CO., INC",31290079A,PO BOX 10,LAKE LUZERNE,NY,12846,"$38,350.00 "
43713,0,257964,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,BRIGHT STAR COMMUNITY OUTREACH CORPORATION,87469744L,735 E 44TH ST # 1,CHICAGO,IL,60653,"$38,400.00 "
49031,0,257964,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,METROSQUASH,80647304L,5655 S UNIVERSITY AVENUE EFT,CHICAGO,IL,60637,"$38,500.00 "
43885,0,257964,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,"JHP COMMUNITY CENTER, INC.",32592068M,5110 N WESTERN AVE,CHICAGO,IL,60625,"$38,500.00 "
31398,1,129405,DELEGATE AGENCY,1/4/17,DEPT OF FAMILY AND SUPPORT SERVICES,SARAH'S INN,93350716P,309 HARRISON STREET EFT,OAK PARK,IL,60340,"$38,880.00 "
43982,0,257964,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,KUUMBA LYNX,31326109X,4501 N CLARENDON EFT,CHICAGO,IL,60640,"$39,000.00 "
33923,0,135497,DELEGATE AGENCY,2/11/16,DEPT OF FAMILY AND SUPPORT SERVICES,ONWARD NEIGHBORHOOD HOUSE,99076561P,5413 W DIVERSEY AVENUE EFT,CHICAGO,IL,60639,"$39,274.00 "
43987,0,257964,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,MARION NZINGA STAMPS YOUTH CENTER,99822851M,1329 N LARRABEE ST,CHICAGO,IL,60610,"$39,300.00 "
22224,32,75078,WORK SERVICES / FACILITIES MAINT.,11/9/16,DEPT OF GENERAL SERVICES,PITNEY BOWES GLOBAL FINANCIAL,93428228L,PO BOX 856460,LOUISVILLE,KY,40285,"$39,500.00 "
43714,0,257964,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,CAROLE ROBERTSON CENTER FOR LEARNING,9391253E,2020 W ROOSEVELT RD,CHICAGO,IL,60608,"$39,700.00 "
35593,7,167058,PROPERTY LEASE,2/7/17,,L F L PROPERTIES INC,3835812M,5901 N CICERO AVE STE G2,CHICAGO,IL,60646,"$39,845.00 "
34146,0,135100,DELEGATE AGENCY,2/11/16,DEPT OF FAMILY AND SUPPORT SERVICES,"WESTERN KENTUCKY UNIVERSITY RESEARCH FOUNDATION, INC.",98844715A,WESTERN KENTUCKY UNIV.,BOWLING GREEN,KY,42101-1031,"$40,000.00 "
43984,0,257964,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,LOCAL-MOTIONS,93427468A,6272 W NORTH AVENUE EFT,CHICAGO,IL,60639,"$40,000.00 "
43855,0,257964,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,HOLY FAMILY MINISTRIES,77983397X,3415 W ARTHINGTON ST,CHICAGO,IL,60624,"$40,000.00 "
43829,0,257964,DELEGATE AGENCY,1/11/17,DEPT OF FAMILY AND SUPPORT SERVICES,"CHINESE AMERICAN SERVICE LEAGUE, INC.",30779553M,2141 S TAN CT FL 2ND,CHICAGO,IL,60616,"$40,000.00 "
44036,0,300535,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,CATHOLIC YOUTH MINISTRY CENTER AT MORGAN PARK HIGH SCHOOL,94722892Z,MORGAN PARK HIGH SCHOOL,CHICAGO,IL,60643,"$40,000.00 "
44009,0,257964,DELEGATE AGENCY,1/11/17,DEPT OF FAMILY AND SUPPORT SERVICES,"SINAI COMMUNITY INSTITUTE, INC.",31321008Z,2653 W OGDEN AVE,CHICAGO,IL,60608,"$40,000.00 "
44221,0,300532,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,"FAMILY MATTERS, INC.",91726460H,7731 N MARSHFIELD AVENUE EFT,CHICAGO,IL,60626,"$40,000.00 "
43675,0,300555,DELEGATE AGENCY,1/11/17,DEPT OF FAMILY AND SUPPORT SERVICES,HOWARD AREA COMMUNITY CENTER,28386163V,CENTER (AGENT)ROBERT BUCHANAN,CHICAGO,IL,60626,"$40,000.00 "
49624,0,300532,DELEGATE AGENCY,2/7/17,DEPT OF FAMILY AND SUPPORT SERVICES,CABRINI CONNECTIONS,95652473X,1000 N ORLEANS EFT,CHICAGO,IL,60610,"$40,000.00 "
43652,0,300538,DELEGATE AGENCY,1/11/17,DEPT OF FAMILY AND SUPPORT SERVICES,CENTER ON HALSTED,62852273V,"3656 N HALSTED ST FL 2, 3",CHICAGO,IL,60613,"$40,000.00 "
31427,1,129401,DELEGATE AGENCY,1/4/17,DEPT OF FAMILY AND SUPPORT SERVICES,THE NEAR NORTH HEALTH SERVICE CORPORATION,98511894T,1276 N CLYBOURN AVENUE EFT,CHICAGO,IL,60610,"$40,000.00 "
43868,0,257964,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,INSTITUTE OF POSITIVE EDUCATION,22419545P,7825 S ELLIS AVE,CHICAGO,IL,60619,"$40,053.00 "
33457,6,132125,CONSTRUCTION-AVIATION,8/10/16,DEPT OF AVIATION,"SUMIT CONSTRUCTION CO., INC.",21973746A,4150 W WRIGHTWOOD AVE FL 1ST,CHICAGO,IL,60639,"$40,150.00 "
32353,11,123883,CONSTRUCTION-LARGE $3MILLIONorABOVE,6/6/16,CHICAGO DEPARTMENT OF TRANSPORTATION,R.W. DUNTEMAN CO.,31376754P,PO BOX 1129,ADDISON,IL,60101,"$40,364.40 "
28999,3,118501,DELEGATE AGENCY,6/6/16,DEPT OF FAMILY AND SUPPORT SERVICES,NORTHWESTERN UNIVERSITY SETTLEMENT ASSOCIATION,6777515L,1400 W AUGUSTA BLVD # 1,CHICAGO,IL,60622-3939,"$40,441.00 "
40884,0,223551,COMPTROLLER-OTHER,6/6/16,DEPT OF COMMUNITY DEVELOPMENT,CHICAGO COMMUNITY LAND TRUST,93394332L,121 N LA SALLE ST,CHICAGO,IL,60602,"$40,500.00 "
28208,12,109057,CONSTRUCTION-LARGE $3MILLIONorABOVE,12/9/16,CHICAGO DEPARTMENT OF TRANSPORTATION,"SUMIT CONSTRUCTION CO., INC.",21973746A,4150 W WRIGHTWOOD AVE FL 1ST,CHICAGO,IL,60639,"$40,820.10 "
32640,8,122495,CONSTRUCTION-GENERAL,7/12/16,DEPARTMENT OF WATER MANAGEMENT,MQ SEWER & WATER CONTRACTORS,93441467T,C. D/B/A MQ CONSTRUCTION CO,CHICAGO,IL,60634,"$41,250.00 "
31428,1,129401,DELEGATE AGENCY,1/4/17,DEPT OF FAMILY AND SUPPORT SERVICES,POLISH AMERICAN ASSOCIATION,87112400P,3834 N CICERO AVENUE EFT,CHICAGO,IL,60641,"$42,018.00 "
43715,0,257964,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,CASA CENTRAL SOCIAL SERVICES CORPORATION,12727336M,1343 N CALIFORNIA AVE,CHICAGO,IL,60622,"$42,300.00 "
29858,42,119473,CONSTRUCTION-AVIATION,1/12/16,OHARE MODERNIZATION PROJECT,DIVANE BROTHERS. ELECTRIC CO.,22547883T,2424 N 25TH AVE,FRANKLIN PARK,IL,60131-3387,"$42,433.90 "
41077,4,170333,CONSTRUCTION-AVIATION,2/8/17,DEPT OF AVIATION,THE LANE CONSTRUCTION CORPORATION,56316021,611 WEST JEFFERSON STREET,SHOREWOOD,IL,60404,"$43,060.00 "
23954,127,24508A,CONSTRUCTION-GENERAL,2/7/17,CHICAGO DEPARTMENT OF TRANSPORTATION,WALSH CONSTRUCTION COMPANY OF ILL,15792481T,929 W ADAMS STREET EFT,CHICAGO,IL,60607,"$43,106.30 "
51127,0,121713,DELEGATE AGENCY,2/2/17,DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION,NEAR SOUTH PLANNING BOARD,93454957A,2600 S MICHIGAN AVE,CHICAGO,IL,60616,"$43,118.00 "
28737,25,109587,CONSTRUCTION-LARGE $3MILLIONorABOVE,1/3/17,CHICAGO DEPARTMENT OF TRANSPORTATION,CAPITOL CEMENT CO INC 01,15244443L,6231-6233 N PULASKI RD,CHICAGO,IL,60646,"$43,396.80 "
32353,13,123883,CONSTRUCTION-LARGE $3MILLIONorABOVE,8/2/16,CHICAGO DEPARTMENT OF TRANSPORTATION,R.W. DUNTEMAN CO.,31376754P,PO BOX 1129,ADDISON,IL,60101,"$43,585.70 "
